InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,TotalRevenue
INV000000,SKU0102,ProWidgetF,66,2010-12-01,130.29,12184,Belgium,Sports,2379.51
INV000001,SKU0435,BudgetWidgetE,78,2010-12-01,16.1,17946,Netherlands,Toys,4211.99
INV000002,SKU0348,DeluxeWidgetC,56,2010-12-01,0.71,19576,France,Toys,1842.9
INV000003,SKU0270,BudgetWidgetE,28,2010-12-01,67.95,15321,Australia,Toys,1729.42
INV000004,SKU0106,DeluxeWidgetC,64,2010-12-01,23.74,19210,France,Electronics,4365.37
INV000005,SKU0071,ClassicWidgetB,71,2010-12-01,110.83,17148,Germany,Sports,4324.39
INV000006,SKU0188,BasicWidgetH,82,2010-12-01,138.03,12024,UnitedKingdom,Clothing,4400.8
INV000007,SKU0020,DeluxeWidgetC,64,2010-12-01,6.77,16173,Belgium,Toys,2860.0
INV000008,SKU0102,ClassicWidgetB,56,2010-12-01,59.64,19734,Netherlands,Clothing,4761.57
INV000009,SKU0121,ClassicWidgetB,41,2010-12-01,149.52,12711,Germany,Electronics,4095.0
INV000010,SKU0466,EliteWidgetG,41,2010-12-01,110.03,17018,Netherlands,Toys,2078.76
INV000011,SKU0214,StandardWidgetD,4,2010-12-01,143.0,19646,France,Sports,3148.15
INV000012,SKU0330,ClassicWidgetB,57,2010-12-01,25.03,17197,UnitedKingdom,Sports,609.82
INV000013,SKU0458,DeluxeWidgetC,30,2010-12-01,33.59,11702,Belgium,Toys,2757.11
INV000014,SKU0087,StandardWidgetD,88,2010-12-01,23.64,15529,Spain,Food,1316.48
INV000015,SKU0372,StandardWidgetD,84,2010-12-01,45.7,17216,Australia,HomeGarden,1418.45
INV000016,SKU0099,ClassicWidgetB,46,2010-12-01,108.8,17655,Spain,HomeGarden,629.47
INV000017,SKU0359,BudgetWidgetE,56,2010-12-01,25.16,15417,Netherlands,Toys,1791.64
INV000018,SKU0151,BudgetWidgetE,31,2010-12-01,78.87,16324,Australia,Food,2407.47
INV000019,SKU0130,ProWidgetF,88,2010-12-01,40.75,13873,Belgium,Books,3002.17
INV000020,SKU0149,StandardWidgetD,7,2010-12-01,124.46,18313,France,HomeGarden,1525.04
INV000021,SKU0308,ClassicWidgetB,90,2010-12-01,1.49,19668,Netherlands,Electronics,3961.45
INV000022,SKU0257,EliteWidgetG,77,2010-12-01,33.86,10265,Spain,HomeGarden,2605.28
INV000023,SKU0343,BudgetWidgetE,54,2010-12-01,90.98,18219,France,HomeGarden,3190.62
INV000024,SKU0491,EliteWidgetG,8,2010-12-02,14.96,15378,Australia,Food,1391.44
INV000025,SKU0413,ClassicWidgetB,55,2010-12-02,70.21,12124,France,Electronics,4070.87
INV000026,SKU0293,ClassicWidgetB,69,2010-12-02,65.71,10431,Belgium,Electronics,3121.75
INV000027,SKU0385,BasicWidgetH,44,2010-12-02,127.95,14974,Belgium,Food,4311.88
INV000028,SKU0191,StandardWidgetD,13,2010-12-02,94.0,13777,Belgium,Books,800.6
INV000029,SKU0443,BasicWidgetH,93,2010-12-02,96.14,17037,Belgium,Sports,1903.94
INV000030,SKU0276,EliteWidgetG,20,2010-12-02,142.8,11085,Belgium,HomeGarden,565.97
INV000031,SKU0160,BasicWidgetH,78,2010-12-02,147.36,16195,France,Toys,1078.42
INV000032,SKU0459,ProWidgetF,32,2010-12-02,98.18,16259,France,Toys,1973.34
INV000033,SKU0313,StandardWidgetD,60,2010-12-02,78.54,12485,Germany,Clothing,4473.01
INV000034,SKU0021,PremiumWidgetA,50,2010-12-02,91.38,18292,Germany,Sports,2785.65
INV000035,SKU0252,BasicWidgetH,27,2010-12-02,57.68,15398,Netherlands,Electronics,1652.56
INV000036,SKU0235,EliteWidgetG,25,2010-12-02,148.12,15078,France,Toys,3734.75
INV000037,SKU0344,BudgetWidgetE,52,2010-12-02,105.9,17202,Spain,Food,99.39
INV000038,SKU0048,BudgetWidgetE,68,2010-12-02,44.01,13048,France,HomeGarden,1851.09
INV000039,SKU0474,BudgetWidgetE,21,2010-12-02,9.14,16502,Belgium,Books,3004.56
INV000040,SKU0058,DeluxeWidgetC,18,2010-12-02,7.19,10799,France,Food,2916.6
INV000041,SKU0169,ClassicWidgetB,39,2010-12-02,31.13,13822,Germany,Clothing,3038.18
